PPI score lower bound,PPI score upper bound,Total Below the National Poverty Line,Total Below the National Food Poverty Line,Total Below the 150% of the National Poverty Line,Total Below the 200% of the National Poverty Line,"Total Below the USAID ""Extreme"" Poverty Line",Total Below the $1.25/Day/2005 PPP Line,Total Below the $2.50/Day/2005 PPP Line,Total Below the $3.75/Day/2005 PPP Line,Total Below the $5.00/Day/2005 PPP Line
0,4,100,71.7,100,100,86.2,30.2,99.4,100,100
5,9,100,64.5,100,100,81.5,16.4,95.2,100,100
10,14,99.1,64.4,99.8,99.8,80.9,21.4,93.6,99.1,99.8
15,19,99.2,45.3,99.7,100,74.5,16.5,88.5,99.3,99.7
20,24,91.7,33.5,99.7,100,59.2,9.3,68.5,90.9,99.1
25,29,90,25,98.6,100,50.2,9.5,63.2,91.3,96.7
30,34,83,15.9,97.2,99.4,41.1,2.1,46.1,84.3,95.9
35,39,70.3,11.3,92.2,98.8,30.9,1.5,34.5,73.1,89.4
40,44,60.3,7.3,85.3,95.6,21.3,2,26.5,62.3,79.8
45,49,52.2,2.2,83,95.7,11.8,0.5,15.6,54.2,78.8
50,54,25.3,0.7,64,89.9,7.8,0,5.3,27.3,54.2
55,59,25.5,0.4,63.5,87.8,4.6,0,3.6,21.3,55.8
60,64,8.1,0,39.2,73.5,1.3,0,0.4,8.5,29.9
65,69,7.3,0.1,35,56.2,0.8,0,0.6,7.5,23.4
70,74,3.9,0,15.9,31.2,1.6,0,0.4,4.7,11.6
75,79,4.4,0,11.7,29.7,0.1,0,0,0.5,7
80,84,1.9,0,7.8,24.1,0,0,0,1.9,3.8
85,89,0.2,0,1.6,4.2,0.1,0,0.1,0.6,1.1
90,94,0,0,1,4.5,0,0,0,0,1
95,100,0,0,0,0,0,0,0,0,0
