"PPI score lower bound","PPI score upper bound","Total Below the National Food Poverty Line","Total Below the National Capacity Poverty Line","Total Below the National Asset Poverty Line","Total Below the 125% of National Asset Poverty Line","Total Below the 150% of National Asset Poverty Line","Total Below the USAID ""Extreme"" Poverty Line","Total Below the $1.25/Day/2005 PPP Line","Total Below the $2.50/Day/2005 PPP Line"
0,4,83.9,89.6,98.8,98.8,100,83.9,24.9,64.5
5,9,80.7,88.9,97.1,98.5,100,78.9,21.3,66.5
10,14,68,76.4,94.2,97.5,98.1,68.9,13.4,51.3
15,19,51.4,67.8,92.2,96.1,97.7,52.3,8.5,25.2
20,24,46.9,61.4,86.8,92.5,96.1,53.6,4.5,33.4
25,29,35.7,49.4,81.1,89.7,94.4,45.4,2.8,18.7
30,34,27.8,40.6,71.6,84.4,90.8,37.8,1.9,14.6
35,39,15.7,25.2,60.2,74.9,84.4,24.7,0.9,7.6
40,44,9.9,15,50.6,64.4,75.4,15.3,0.6,4.5
45,49,7.5,13.9,41.6,59.9,70.9,14.4,0.1,3.8
50,54,4.6,8.1,26.4,42.6,56.8,8.9,0.7,2.8
55,59,2.2,4.9,17.8,31.4,45.4,6.1,0.4,1.1
60,64,1.1,2.4,10.7,19.2,29,3.9,0.1,0.6
65,69,0.9,1.4,6.5,13.3,19.9,1.6,0,0.8
70,74,0.2,0.4,2.9,6.5,12.4,0.5,0,0
75,79,0,0,0.1,3.2,8.2,0,0,0
80,84,0,0.5,2,2.9,5.3,0.5,0,0
85,89,0,0,0,0,0,0,0,0
90,94,0,0,0,0,0,0,0,0
95,100,0,0,0,0,0,0,0,0
